arrived_at,num_prefill_tokens,num_decode_tokens
4.754957,7436,60
4.764047,2673,6
4.765068,2190,155
4.799786,831,15
4.799941,1007,6
4.803760,1013,14
4.803812,1018,6
4.805798,66,42
4.806659,832,9
4.807551,2410,13
4.808672,341,6
4.854672,1968,11
4.859377,4240,71
4.902591,2228,7
4.903822,832,14
4.906490,342,15
4.907360,66,17
4.907524,1778,51
4.907581,2228,7
4.956618,2139,13
4.999984,3760,9
5.004018,2228,7
5.060215,1559,6
5.060338,2494,7
5.061608,1705,30
5.061788,2218,103
5.101306,2554,31
5.101480,1779,7
5.199288,127,23
5.259566,1738,15
5.261592,1705,25
5.262789,1559,9
5.262936,615,177
5.264587,2136,19
5.265411,1739,7
5.299159,135,13
5.304258,902,12
5.307672,2099,12
5.308538,875,82
5.357456,527,42
5.357488,1798,45
5.363730,570,9
5.401543,342,12
5.404610,67,10
5.405619,620,22
5.406770,675,6
5.459864,2488,10
5.495418,4756,9
5.501464,1960,74
5.502823,675,16
5.507891,1262,7
5.507983,4928,11
5.554583,2319,157
5.555466,7435,11
5.601185,1513,6
5.601402,1385,19
5.602091,1263,9
5.603331,68,9
5.605311,1021,62
5.608783,2556,11
5.609526,2230,6
5.661659,7435,17
5.665781,2487,6
5.694828,276,10
5.704436,2559,12
5.704881,6556,23
5.755508,152,6
5.755530,1743,24
5.761532,2164,6
5.763737,1705,76
5.793687,142,30
5.802194,125,14
5.858612,571,8
5.861263,1622,9
5.899193,903,416
5.902949,2559,23
5.906392,2044,16
5.908388,877,76
5.960311,2317,19
5.960502,1111,6
6.003827,887,9
6.004618,1237,10
6.006697,1263,26
6.057469,2163,14
6.057559,2484,16
6.057762,2314,112
6.058922,1673,11
6.061817,4114,6
6.062702,2314,23
6.097792,279,9
6.100823,2512,6
6.100965,530,130
6.104119,3781,14
6.104348,621,10
6.105196,1512,7
6.160901,4682,11
6.204575,1053,20
6.206073,1187,8
6.207431,1264,9
6.209508,877,12
6.259344,1508,11
6.260228,2750,19
6.262472,475,23
6.305037,1265,8
6.362604,2493,51
6.363796,2316,28
6.497031,7418,6
6.501256,1386,40
6.505943,1919,17
6.506149,89,18
6.594165,6108,16
6.594172,1566,97
6.596649,622,28
6.663171,205,6
6.699289,1001,16
6.700572,622,16
6.701453,1054,11
6.701729,5177,11
6.706989,700,8
6.754645,3689,27
6.762561,2315,10
6.763420,530,19
6.800875,1566,70
6.801924,2983,20
6.802633,7435,6
6.805539,1051,9
6.807499,1428,13
6.898822,2513,6
6.901355,4434,8
6.901418,122,19
6.901708,187,15
6.902625,1267,8
6.902928,2982,19
6.902971,475,176
6.903028,1546,8
6.903035,1566,28
6.903704,1783,8
6.903820,3782,8
6.904967,1385,14
6.905546,130,18
6.954970,2169,58
6.956759,528,26
6.959382,1672,7
6.960292,911,16
6.961111,4121,8
6.964180,7436,405
6.965415,2135,11
7.000278,7422,21
7.002172,622,35
7.006259,1267,17
7.055157,4107,6
7.063131,1672,10
7.063746,550,15
7.102644,3165,23
7.102723,894,11
7.121864,534,58
7.154520,532,52
7.199732,625,53
7.201947,1385,32
7.203071,1441,6
7.260455,579,9
7.261317,3004,32
7.295259,1097,12
7.354895,2317,21
7.360130,3314,59
7.363865,1800,10
7.363906,615,16
7.363992,4771,11
7.394310,143,11
7.455303,4022,12
7.458836,2317,7
7.459627,887,10
7.562660,887,16
7.754846,854,60
7.754960,1867,20
7.758785,996,8
7.759584,152,6
7.861447,1800,7
7.862134,2936,17
7.862300,2331,136
7.956095,3695,19
7.956805,1162,28
7.957053,1111,12
7.960735,2220,8
7.960853,997,6
7.962758,962,34
8.061248,2222,15
8.158240,2332,37
8.163722,2322,28
8.195272,2316,8
8.195397,2990,16
8.255399,1674,14
8.259179,278,46
8.264012,132,17
8.264250,997,41
8.361375,578,9
8.455124,1021,15
8.458088,4243,7
8.458134,4995,14
8.459911,2766,13
8.459975,2511,12
8.460076,6097,129
8.461139,997,16
8.495253,748,9
8.561510,1745,9
8.562478,2322,120
8.564276,997,22
8.564397,22,52
8.798109,1016,89
8.857638,2322,27
8.857830,4682,22
8.897353,4133,39
8.961275,3651,58
9.059376,1890,9
9.060553,4994,20
9.064702,156,57
9.064809,3033,9
9.395574,4592,30
9.494955,186,11
9.494961,1755,9
9.495078,1915,90
9.593602,748,12
9.797008,586,19
9.797185,750,7
10.097251,6559,16
10.393599,1387,84
10.496179,7436,6
10.835385,1506,79
10.847554,1728,43
11.017702,535,18
11.018843,218,21
11.232207,2283,9
11.293721,550,7
11.493813,7436,12
11.526603,92,19
11.662374,6560,12
11.893664,3788,13
12.093591,1444,14
12.107728,1813,9
12.393543,536,76
12.493774,1079,16
12.495815,6561,17
12.856766,1504,20
12.895950,636,14
12.939169,3026,84
12.993599,219,6
13.217225,1079,6
13.381647,536,10
13.693742,3758,6
13.916274,1079,16
14.050201,536,18
14.053152,637,14
14.493535,1763,6
14.934717,1377,28
14.935904,3758,6
15.145759,189,12
15.240376,7435,13
15.310356,547,11
15.397530,1652,10
15.398062,1815,52
16.056428,3757,6
16.209063,6357,6
16.686592,753,7
16.686703,538,11
16.711502,95,9
16.749710,1445,13
16.793694,7009,10
16.794558,64,12
17.193564,638,19
17.193891,1506,169
17.500699,958,162
17.698618,65,10
17.795621,7435,16
17.893612,231,7
18.193816,1508,61
18.295587,3227,34
18.295726,2316,8
18.493701,1816,72
18.796585,1378,6
18.893667,232,6
18.993802,924,13
18.996064,6190,225
18.996139,4593,7
18.996253,7435,17
19.093588,639,37
19.093653,2512,6
19.293565,960,8
19.296644,4084,12
19.798179,7435,12
19.896944,3553,10
20.129014,7010,11
20.738224,1511,184
21.112171,640,28
21.754540,4135,895
21.834968,149,9
22.027761,1669,9
22.035961,1669,23
22.196546,940,10
22.295404,2321,19
22.693658,1570,6
22.797729,1352,11
22.814250,1290,8
23.098828,1781,25
23.118569,1380,14
23.197230,1506,6
23.197292,1816,43
23.397241,539,37
23.399896,104,7
23.893755,192,7
24.094626,1292,11
24.693763,1818,7
24.894268,4366,9
24.993718,193,11
24.994867,19,6
25.093534,229,9
25.096339,1817,6
25.235188,107,15
28.274599,2711,82
28.274683,1147,12
28.277449,1090,6
28.374597,278,22
28.621861,16,76
28.874774,1952,8
29.075753,3344,16
29.075775,5520,10
37.481858,842,14
37.581152,842,103
40.276529,3347,15
40.378500,1338,49
40.480223,188,6
40.581599,1053,69
40.582471,1217,13
40.585642,737,35
40.674502,2888,11
40.674656,6169,6
40.680204,842,31
40.682517,2919,9
40.779452,2638,16
40.780710,188,13
40.783125,210,15
40.879821,1342,120
40.880091,1278,172
40.881051,6166,12
40.882040,2087,15
40.978043,368,11
41.277841,5690,10
41.377115,842,84
41.378018,1153,37
41.379060,189,15
41.379235,1219,11
41.380133,788,11
41.478882,2889,32
41.479859,1342,106
41.583789,1221,13
41.584757,1155,6
41.584992,1697,100
41.683275,2290,10
41.780264,1697,13
41.781997,189,17
41.783266,4653,10
41.785263,844,109
41.882507,1196,18
41.981482,287,7
41.982648,2920,18
42.278558,190,32
42.476990,288,26
42.477606,844,112
42.676404,5691,14
42.774728,2932,10
42.777150,2437,9
42.875846,192,7
42.977010,2085,11
42.977613,372,12
42.977637,2928,10
43.174878,1662,16
43.177082,6178,25
43.177325,54,40
43.374871,2290,10
43.378263,1343,10
43.875532,373,9
43.875744,7436,10
43.876404,1082,9
43.977116,193,13
43.977163,81,15
44.078861,1065,18
44.276935,2928,11
44.375897,291,21
45.174688,1342,57
45.182505,288,10
45.456062,1908,14
45.457762,291,6
45.574654,1744,9
45.974699,1342,10
46.074637,2612,290
46.108659,1187,10
46.181925,79,73
46.274782,1342,22
46.276879,2892,9
46.375628,292,22
52.156030,2088,16
52.300844,1465,10
52.355206,2324,6
52.370420,6082,12
52.378867,2357,8
52.455697,4195,12
52.455949,682,16
52.459878,2920,8
52.554992,172,11
52.555015,640,14
52.555768,1065,10
52.802592,682,8
52.861082,800,20
53.004121,3083,13
53.075270,2672,8
53.255660,2089,11
53.255768,2505,75
53.355820,2356,10
53.356097,682,8
53.360763,3083,13
53.455447,2187,20
53.555245,643,6
53.566064,403,18
53.855883,682,13
53.859192,2951,11
54.157530,798,39
54.355624,3088,9
54.458149,2921,24
54.664805,1064,10
54.757583,2338,12
54.757703,2357,13
54.782991,2087,7
54.967703,685,11
55.016588,230,76
55.456105,4512,9
55.466188,236,7
55.561822,3216,9
55.757945,684,9
55.956426,3089,13
56.057712,713,11
56.155818,1064,10
56.255676,2340,10
56.257528,539,11
56.257737,37,7
56.455192,713,13
56.456023,404,27
56.656822,2341,7
56.755258,2417,16
57.068315,231,42
57.088870,2952,10
57.278877,3219,6
57.279045,418,6
57.282170,2434,7
57.789384,1983,27
57.814464,6081,11
57.854956,944,24
58.191710,2952,26
58.256305,3222,7
58.356570,2434,7
58.357734,3140,13
58.406824,2343,10
58.682731,2432,34
59.195233,2087,14
59.244922,1599,9
59.264352,2087,12
59.354915,661,14
59.389663,2191,7
59.456357,6191,7
59.456573,2417,9
59.554909,6083,9
59.565891,935,45
59.655007,1183,13
59.671016,3105,9
59.787880,1683,9
59.896423,3219,21
59.957286,2087,7
60.165385,3839,48
60.166015,5536,39
60.167629,228,29
60.184501,4017,14
60.205364,229,28
60.219861,2417,9
60.281570,1227,15
60.454907,1736,9
60.465864,1861,18
60.473965,3560,14
60.669570,1764,57
60.767451,1789,9
60.964755,2194,13
61.008145,3307,50
61.055847,2454,8
61.091579,2086,7
61.157022,7436,12
61.176470,303,13
61.258688,820,274
61.267600,1864,190
61.289391,2417,9
61.290229,1739,46
61.369115,772,9
61.456183,3841,6
61.456316,1033,6
61.557319,1738,9
61.655964,3054,14
61.662163,2454,8
61.858643,2150,19
61.875521,2687,13
61.967739,1690,58
61.967914,101,9
61.967932,772,7
61.971178,3220,52
61.977192,2086,7
62.055690,2037,9
62.056780,718,8
62.083532,1967,361
62.265905,772,9
62.365918,1791,8
62.366706,2980,7
62.399203,2975,6
62.555099,2358,8
62.568489,2445,14
62.670782,2687,13
62.771624,189,9
62.886561,2980,7
62.922130,1206,14
62.967889,4019,6
62.969338,2357,7
63.039040,2548,9
63.068156,1379,126
63.155407,398,10
63.165932,1241,19
63.268799,5591,37
63.268887,1865,12
63.277269,2385,23
63.305066,1740,14
63.456864,950,22
63.555870,2345,13
63.578023,2687,23
63.707988,1865,14
63.718355,1693,6
63.855749,2039,7
63.861811,1740,7
64.055082,2603,6
64.157253,2087,13
64.358615,2361,8
64.554911,1473,10
64.660404,688,28
64.760520,992,12
64.792160,4420,20
64.884730,840,16
64.955430,719,10
64.955452,1986,6
64.959242,2088,13
64.971317,2563,6
64.980216,2687,54
65.066028,104,76
65.154679,1064,10
65.225807,244,16
65.266085,1792,6
65.368347,15,21
65.456896,228,11
65.456937,720,8
65.466146,1105,25
65.468217,1609,15
65.474724,132,37
65.519098,244,6
66.066503,2689,13
66.165905,103,74
66.207349,4820,39
66.265909,1834,25
66.373354,1793,10
66.374269,2189,9
66.374276,941,9
66.374433,189,109
66.555486,720,9
66.555681,2363,6
66.623351,1697,11
66.655629,690,17
66.664099,2091,10
66.700759,106,7
66.754526,492,8
66.867253,692,11
66.973331,2418,27
67.065160,992,25
67.066087,1108,6
67.072299,250,15
67.158103,2924,7
67.167918,3712,12
67.168792,944,20
67.355575,800,15
67.355698,693,13
67.369525,1742,12
67.557263,1675,20
67.770138,106,7
67.782100,1688,10
67.855862,3224,45
67.869360,1295,10
68.057755,694,18
68.157605,3380,29
68.160571,1742,9
68.161557,1934,15
68.259381,1181,9
68.457394,2389,15
68.461514,694,13
68.661461,3909,928
68.756692,172,15
68.756723,994,19
68.860126,7428,13
68.959218,4207,14
69.355377,1183,9
69.456889,7428,7
69.459033,1743,10
69.556040,2195,6
69.662892,4209,7
69.755697,2947,7
69.755731,245,77
69.856291,360,9
69.993011,1679,6
70.087781,1002,9
70.343865,2673,18
70.442096,1185,14
70.443623,1062,10
70.662175,1679,9
70.760562,952,10
70.857134,7423,17
70.955499,699,11
71.561111,3380,9
71.655786,50,9
71.757119,1060,10
71.757146,699,6
71.856840,953,17
71.956700,699,15
72.155514,469,7
72.379142,2539,16
72.396362,50,9
72.458050,699,25
72.458146,539,15
72.458173,3227,45
72.459038,1060,9
72.656095,3058,246
72.656209,369,43
72.656253,616,134
72.855661,799,9
73.057184,227,6
73.219812,2398,11
73.282034,235,8
73.359431,2951,11
73.359543,799,11
73.365698,698,25
73.456045,2539,10
73.456136,1942,45
73.555271,3384,9
73.757218,1229,18
74.080396,2399,24
74.379372,3647,94
74.586169,368,32
74.760276,1231,15
74.855193,1554,46
75.045103,1725,9
75.387704,109,19
75.496953,2674,6
75.555233,237,42
75.655913,233,6
75.855837,1060,10
75.860568,238,6
75.955589,1185,19
75.985150,2718,8
76.055848,2402,14
76.454899,1030,10
76.655778,1060,10
76.661264,1235,15
76.856221,370,131
76.996607,2399,15
77.008501,2270,6
77.455395,7435,9
216.176177,1338,8
216.277622,1855,15
216.374549,3598,13
216.376132,1178,27
216.383054,572,9
216.626727,51,8
216.774670,4181,19
216.874650,147,12
219.181172,1749,11
219.274609,1339,10
219.875087,574,7
220.049428,3601,42
220.278429,2001,13
220.474659,1336,12
220.474876,3600,13
220.483103,5459,79
220.796086,51,10
220.880664,1590,24
222.177550,1337,22
222.478938,1704,9
225.278752,1601,59
225.278789,6143,6
225.379785,4314,12
225.675808,199,6
225.675898,6191,19
225.675931,56,8
225.682448,156,13
225.682589,3602,22
225.882634,56,9
226.479611,56,12
226.581344,851,7
226.581423,3604,16
227.278759,6189,16
227.278901,6542,9
227.377986,573,6
227.480718,57,9
227.581795,1179,31
228.277002,1349,9
228.478464,2003,10
228.677472,157,12
228.678372,2375,16
228.679578,1225,29
228.777371,3866,31
228.882106,7435,60
228.883104,851,10
228.983176,248,16
229.076029,574,6
229.174498,1092,19
229.181766,852,11
229.385994,250,8
229.386249,3866,81
229.478135,229,13
229.479067,1091,14
229.480081,1179,22
229.480177,2339,104
229.581074,852,9
229.581097,238,19
229.583110,1735,49
229.583175,7436,27
229.782386,228,14
229.782501,7436,20
229.883425,852,10
229.886871,2006,18
229.976123,1092,25
229.980604,1177,16
229.982264,6192,12
230.075199,1459,18
230.081408,852,8
230.280530,1349,12
230.280613,3606,220
230.284419,240,6
230.375110,3539,20
230.375134,7289,13
230.376096,2009,11
230.376237,3542,9
230.381688,1417,40
230.381829,6149,6
230.382584,851,12
230.382718,6193,10
230.474841,1092,15
230.580020,564,20
230.679832,7294,6
230.681147,5459,147
230.682481,3136,14
230.683587,3540,6
230.686289,840,19
230.777756,238,8
230.780005,1179,36
230.781101,1460,17
230.781825,6193,8
230.782138,1225,14
230.875263,1349,12
230.882766,65,14
230.974877,7436,24
230.974971,3139,14
230.980745,6194,10
231.181332,1036,18
231.181808,3607,109
231.777195,68,6
231.778177,2715,8
231.778183,2037,12
231.875037,846,9
232.075739,3540,28
232.280705,7436,41
232.381889,74,18
232.777861,2718,11
232.781440,3540,27
233.077367,5460,19
233.077421,2791,24
233.777345,1815,7
233.877489,2037,16
233.977716,74,39
234.076945,5460,39
234.275700,69,10
234.577156,298,61
234.678014,1349,19
234.678168,814,34
234.774764,5899,14
234.974795,1032,48
234.974991,2484,12
235.275173,70,9
235.475966,7435,41
235.576209,2720,7
235.591045,75,17
235.674789,84,49
235.784146,1819,10
236.274554,1038,35
236.277852,2037,12
236.420415,246,9
236.489451,76,35
236.575111,84,19
237.019116,5462,19
237.376588,244,10
237.377567,1711,9
237.377574,2721,10
237.377602,1605,9
237.474738,7436,28
237.474846,7302,22
237.482970,7436,10
237.574654,7433,13
237.592818,88,20
237.678160,68,13
237.683487,77,14
237.874602,1036,9
238.178419,89,8
238.282310,825,31
238.377181,7436,12
238.476007,7436,17
238.777577,90,14
239.417598,3081,74
239.676448,2610,82
239.680867,1383,14
239.777497,7436,22
239.978598,1037,15
239.978673,3862,6
239.980472,2227,12
240.074603,829,7
240.353376,90,6
240.618180,76,46
240.697575,1717,28
240.876845,5457,103
240.878283,1911,15
240.974821,249,16
240.977059,2039,13
240.977137,1207,14
240.977265,71,11
241.077008,89,6
241.174656,829,8
241.276532,1038,19
241.288731,3569,6
241.374592,90,8
241.376607,78,9
241.720167,885,25
241.774645,5462,46
241.782975,3193,21
